2019-03-13 00:00:00

;;;;Devizy;;;Valuty
Země;Množství;Měna;Změna;Nákup;Prodej;Střed;Nákup;Prodej;Střed
Austrálie;1;AUD;-0.4;15,642;16,452;16,047;0,000;0,000;0,000
Čína;1;CNY;-0.2;3,182;3,589;3,385;0,000;0,000;0,000
Dánsko;1;DKK;0;3,354;3,526;3,440;3,354;3,526;3,440
EMS;1;EUR;0;25,023;26,299;25,661;25,023;26,299;25,661
Chorvatsko;1;HRK;0;3,374;3,547;3,461;0,000;0,000;0,000
Japonsko;100;JPY;-0.1;19,918;20,941;20,429;0,000;0,000;0,000
Kanada;1;CAD;0.1;16,588;17,446;17,017;0,000;0,000;0,000
Maďarsko;100;HUF;0.1;7,929;8,345;8,137;0,000;0,000;0,000
Norsko;1;NOK;0;2,566;2,698;2,632;2,566;2,698;2,632
Polsko;1;PLN;0;5,816;6,119;5,968;0,000;0,000;0,000
Rumunsko;1;RON;-0.6;5,238;5,507;5,372;0,000;0,000;0,000
Rusko;100;RUB;0.1;32,528;36,708;34,618;0,000;0,000;0,000
Švédsko;1;SEK;-0.2;2,365;2,486;2,426;2,365;2,486;2,426
Švýcarsko;1;CHF;0.1;22,010;23,118;22,564;22,010;23,118;22,564
Turecko;1;TRY;-0.5;3,906;4,425;4,166;0,000;0,000;0,000
USA;1;USD;-0.2;22,165;23,308;22,737;22,165;23,308;22,737
Velká Británie;1;GBP;-1.1;29,022;30,509;29,765;29,022;30,509;29,765
