2019-03-16 00:00:00

;;;;Devizy;;;Valuty
Země;Množství;Měna;Změna;Nákup;Prodej;Střed;Nákup;Prodej;Střed
Austrálie;1;AUD;0.3;15,654;16,460;16,057;0,000;0,000;0,000
Čína;1;CNY;-0.1;3,170;3,575;3,373;0,000;0,000;0,000
Dánsko;1;DKK;0;3,354;3,525;3,440;3,354;3,525;3,440
EMS;1;EUR;0;25,026;26,303;25,665;25,026;26,303;25,665
Chorvatsko;1;HRK;0;3,372;3,545;3,459;0,000;0,000;0,000
Japonsko;100;JPY;-0.1;19,801;20,818;20,309;0,000;0,000;0,000
Kanada;1;CAD;0;16,606;17,460;17,033;0,000;0,000;0,000
Maďarsko;100;HUF;0.1;7,957;8,369;8,163;0,000;0,000;0,000
Norsko;1;NOK;0.2;2,582;2,716;2,649;2,582;2,716;2,649
Polsko;1;PLN;-0.1;5,812;6,113;5,962;0,000;0,000;0,000
Rumunsko;1;RON;0.2;5,247;5,523;5,385;0,000;0,000;0,000
Rusko;100;RUB;-0.1;32,543;36,724;34,633;0,000;0,000;0,000
Švédsko;1;SEK;0.2;2,379;2,501;2,440;2,379;2,501;2,440
Švýcarsko;1;CHF;0.2;22,058;23,176;22,617;22,058;23,176;22,617
Turecko;1;TRY;0;3,892;4,400;4,146;0,000;0,000;0,000
USA;1;USD;0;22,108;23,243;22,676;22,108;23,243;22,676
Velká Británie;1;GBP;0;29,283;30,784;30,033;29,283;30,784;30,033
