2019-03-14 00:00:00

;;;;Devizy;;;Valuty
Země;Množství;Měna;Změna;Nákup;Prodej;Střed;Nákup;Prodej;Střed
Austrálie;1;AUD;-0.2;15,613;16,415;16,014;0,000;0,000;0,000
Čína;1;CNY;-0.3;3,172;3,578;3,375;0,000;0,000;0,000
Dánsko;1;DKK;0;3,354;3,526;3,440;3,354;3,526;3,440
EMS;1;EUR;0;25,023;26,303;25,663;25,023;26,303;25,663
Chorvatsko;1;HRK;0;3,373;3,548;3,460;0,000;0,000;0,000
Japonsko;100;JPY;-0.5;19,810;20,829;20,320;0,000;0,000;0,000
Kanada;1;CAD;0.1;16,605;17,459;17,032;0,000;0,000;0,000
Maďarsko;100;HUF;0.2;7,949;8,363;8,156;0,000;0,000;0,000
Norsko;1;NOK;0.5;2,577;2,711;2,644;2,577;2,711;2,644
Polsko;1;PLN;0;5,818;6,119;5,969;0,000;0,000;0,000
Rumunsko;1;RON;0;5,236;5,511;5,374;0,000;0,000;0,000
Rusko;100;RUB;0.2;32,578;36,769;34,673;0,000;0,000;0,000
Švédsko;1;SEK;0.4;2,375;2,498;2,436;2,375;2,498;2,436
Švýcarsko;1;CHF;0;22,007;23,131;22,569;22,007;23,131;22,569
Turecko;1;TRY;-0.5;3,890;4,399;4,144;0,000;0,000;0,000
USA;1;USD;-0.3;22,106;23,239;22,672;22,106;23,239;22,672
Velká Británie;1;GBP;0.9;29,271;30,775;30,023;29,271;30,775;30,023
