2019-03-11 00:00:00

;;;;Devizy;;;Valuty
Země;Množství;Měna;Změna;Nákup;Prodej;Střed;Nákup;Prodej;Střed
Austrálie;1;AUD;0.2;15,665;16,470;16,068;0,000;0,000;0,000
Čína;1;CNY;-0.3;3,187;3,595;3,391;0,000;0,000;0,000
Dánsko;1;DKK;0;3,350;3,522;3,436;3,350;3,522;3,436
EMS;1;EUR;0.1;24,998;26,276;25,637;24,998;26,276;25,637
Chorvatsko;1;HRK;0.1;3,373;3,547;3,460;0,000;0,000;0,000
Japonsko;100;JPY;-0.1;20,024;21,054;20,539;0,000;0,000;0,000
Kanada;1;CAD;-0.1;16,573;17,425;16,999;0,000;0,000;0,000
Maďarsko;100;HUF;0.3;7,919;8,332;8,125;0,000;0,000;0,000
Norsko;1;NOK;0.2;2,545;2,677;2,611;2,545;2,677;2,611
Polsko;1;PLN;0.3;5,809;6,111;5,960;0,000;0,000;0,000
Rumunsko;1;RON;-0.1;5,254;5,540;5,397;0,000;0,000;0,000
Rusko;100;RUB;-0.3;32,322;36,480;34,401;0,000;0,000;0,000
Švédsko;1;SEK;0.1;2,361;2,483;2,422;2,361;2,483;2,422
Švýcarsko;1;CHF;0;22,074;23,186;22,630;22,074;23,186;22,630
Turecko;1;TRY;0;3,929;4,451;4,190;0,000;0,000;0,000
USA;1;USD;-0.3;22,253;23,395;22,824;22,253;23,395;22,824
Velká Británie;1;GBP;-1.2;28,871;30,356;29,614;28,871;30,356;29,614
