2019-03-09 00:00:00

;;;;Devizy;;;Valuty
Země;Množství;Měna;Změna;Nákup;Prodej;Střed;Nákup;Prodej;Střed
Austrálie;1;AUD;0.5;15,632;16,448;16,040;0,000;0,000;0,000
Čína;1;CNY;0.9;3,196;3,604;3,400;0,000;0,000;0,000
Dánsko;1;DKK;0.1;3,348;3,522;3,435;3,348;3,522;3,435
EMS;1;EUR;0.1;24,975;26,271;25,623;24,975;26,271;25,623
Chorvatsko;1;HRK;0.1;3,369;3,543;3,456;0,000;0,000;0,000
Japonsko;100;JPY;1.4;20,033;21,079;20,556;0,000;0,000;0,000
Kanada;1;CAD;1;16,576;17,441;17,009;0,000;0,000;0,000
Maďarsko;100;HUF;-0.1;7,893;8,310;8,102;0,000;0,000;0,000
Norsko;1;NOK;-0.3;2,538;2,671;2,605;2,538;2,671;2,605
Polsko;1;PLN;-0.2;5,788;6,093;5,941;0,000;0,000;0,000
Rumunsko;1;RON;0.1;5,264;5,541;5,403;0,000;0,000;0,000
Rusko;100;RUB;0.4;32,395;36,589;34,492;0,000;0,000;0,000
Švédsko;1;SEK;-0.7;2,357;2,481;2,419;2,357;2,481;2,419
Švýcarsko;1;CHF;0.4;22,074;23,185;22,630;22,074;23,185;22,630
Turecko;1;TRY;0.7;3,929;4,446;4,188;0,000;0,000;0,000
USA;1;USD;1.1;22,307;23,467;22,887;22,307;23,467;22,887
Velká Británie;1;GBP;0.4;29,202;30,725;29,963;29,202;30,725;29,963
